,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
As a Data Scientist at KaiOS youll be working with a team of world-class engineers and analysts to gain insight, optimize systems, and drive revenue. Your responsibilities will include designing, producing and improving ML AI systems that will optimize some of the most crucial aspects of KaiOS monetization strategy.

How do we optimize our advertising revenue? How should the recommendation engine in our app store work? What can we learn and deduce about our user base? What on earth does that weird spike on the graph mean?! Do our business forecasts make sense? These and many other challenges will be part of your day to day activities at KaiOS.

As part of the KaiOS Monetization team, the overarching goal of our activities will be to find ways to necessary to allow us to reach our goal of bridging the digital divide without sacrificing user experience.

If youre a passionate and driven data scientist with experience working in Tech we definitely want to hear from you. Previous experience from eCommerce, mobile apps/gaming or other similar fields is a strong plus.

Apart from being a wizard with algorithms and analysis, we also expect you to be technically literate enough to participate in high-level technical discussions with our engineers, and to be able to work independently.

We would like to see that you have experience with:
Degree in Mathematics, Computer Science, BI Data, preferably in Statistics

At least 5 years relevant experience in Commerce, mobile apps/gaming or other similar fields.

Statistical and data mining techniques like GLM/Regression, Random Forest, Boosting, Trees etc.

Statistical/data languages: R, Python, SQL etc.
Web services: Redshift, S3, Athena etc.
Creating and using advanced machine learning algorithms: simulation, clustering, neural networks, etc.
Data/database tools: Excel, MySQL/PostgreSQL etc.
Data visualization presentation for stakeholders using: PowerBI, tableau etc.

If you think you fit the bill, we cant wait to hear from you. Contact us to today and join us on the journey of connecting the next billion people to the internet!

We offer attractive salary and fringe benefit. Interested parties please apply with your full resume stating present and expected salary to Human Resources Manager via email by clicking ""Apply Now"".

For more information, please visit our website at www.kaiostech.com/

All information provided will be treated in strict confidence and used solely for recruitment purposes.

Full-time,Permanent",,,,,,

18,Match Talent,Data Scientist,"Responsibilities:
